Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
6:31797855:-	 1753.7	  179.5	    9.8	    0.6	 999.00	 999.00	 999.00	   0.72	   0.00	--------	-1	0.00	*
14:102547714:+	 1086.0	  287.2	    3.8	    0.5	 105.30	 108.68	 999.00	   0.37	   0.00	--------	-1	0.00	*
4:6644054:-	 1008.8	  270.1	    3.7	    2.5	  96.61	  99.78	 999.00	   0.04	   0.00	--------	-1	0.00	*
1:59247672:+	  948.0	   67.7	   14.0	    0.8	 194.35	 198.74	 999.00	   0.73	   0.00	--------	-1	0.00	*
14:102547443:-	  844.9	   84.9	   10.0	    0.5	 153.68	 157.76	 999.00	   0.66	   0.00	--------	-1	0.00	*
10:79800416:+	  793.0	  171.1	    4.6	    0.5	  92.30	  95.43	 999.00	   0.84	   0.00	--------	-1	0.00	*
10:74035133:+	  755.5	  321.9	    2.3	    0.5	  38.51	  40.38	 999.00	   0.22	   0.00	--------	-1	0.00	*
10:74035629:+	  701.5	   84.0	    8.4	    0.5	 118.17	 121.86	 999.00	   0.37	   0.00	--------	-1	0.00	*
4:6643928:+	  681.8	  189.1	    3.6	    2.5	  62.80	  65.32	 999.00	   0.25	   0.00	--------	-1	0.00	*
1:59247661:-	  665.4	   65.1	   10.2	    0.8	 121.46	 125.30	 999.00	   0.77	   0.00	--------	-1	0.00	*
10:79800417:-	  662.0	  136.9	    4.8	    0.5	  79.97	  82.85	 999.00	   0.83	   0.00	--------	-1	0.00	*
7:26231799:+	  625.5	  159.7	    3.9	    0.9	  62.92	  65.45	 999.00	   0.44	   0.00	--------	-1	0.00	*
6:31797836:+	  613.6	   57.6	   10.6	    0.6	 114.19	 117.73	 999.00	   0.63	   0.00	--------	-1	0.00	*
6:116598596:+	  606.8	    6.4	   94.4	    2.1	 164.82	 169.03	 999.00	   0.41	   0.00	--------	-1	0.00	*
14:102547810:-	  597.1	  242.4	    2.5	    0.5	  33.19	  34.88	 999.00	   0.35	   0.00	--------	-1	0.00	*
6:31797818:+	  589.4	   46.1	   12.8	    0.6	 116.49	 120.09	 999.00	   0.63	   0.00	--------	-1	0.00	*
10:70743779:-	  586.0	   43.9	   13.4	    0.5	 117.89	 121.54	 999.00	   0.68	   0.00	--------	-1	0.00	*
8:80676667:-	  580.1	   33.1	   17.5	   24.2	 125.25	 129.16	 999.00	   0.50	   0.00	--------	-1	0.00	*
2:232319686:+	  565.1	  120.9	    4.7	    0.4	  66.59	  69.22	 999.00	   0.62	   0.00	--------	-1	0.00	*
19:8553964:+	  549.8	   68.3	    8.0	    1.1	  90.49	  93.60	 999.00	   0.71	   0.00	--------	-1	0.00	*
7:26231803:-	  548.6	  141.1	    3.9	    0.9	  54.55	  56.88	 999.00	   0.56	   0.00	--------	-1	0.00	*
1:59247280:-	  547.6	    7.2	   75.7	    0.8	 146.05	 150.03	 999.00	   0.29	   0.00	--------	-1	0.00	*
6:38643767:+	  544.0	  119.7	    4.5	    0.6	  62.42	  64.92	 999.00	   0.73	   0.00	--------	-1	0.00	*
19:8553954:-	  525.4	   59.4	    8.8	    1.1	  90.46	  93.56	 999.00	   0.72	   0.00	--------	-1	0.00	*
6:31797822:-	  513.2	   41.9	   12.3	    0.6	 100.63	 103.88	 999.00	   0.66	   0.00	--------	-1	0.00	*
9:127998771:+	  513.0	   60.4	    8.5	    3.9	  86.60	  89.58	 999.00	   0.63	   0.00	--------	-1	0.00	*
17:1247913:+	  505.7	  143.7	    3.5	    1.1	  45.60	  47.66	 999.00	   0.82	   0.27	--------	-1	0.00	*
5:179041693:+	  501.0	   64.6	    7.8	    3.0	  81.07	  83.97	 999.00	   0.41	   0.56	--------	-1	0.00	*
