Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
10:74035137	 1559.9	  368.8	    4.2	    0.5	 170.20	 173.31	 999.00	  -0.25	   0.00	--------	-1	0.00	*
4:6643968	 1452.9	  642.6	    2.3	    2.5	  69.40	  71.25	 999.00	  -0.39	   0.00	--------	-1	0.00	*
10:74035620	 1342.1	   87.4	   15.4	    0.5	 284.64	 288.50	 999.00	  -0.29	   0.00	--------	-1	0.00	*
8:37557283	 1012.0	  290.3	    3.5	    1.9	  90.93	  93.13	 999.00	  -0.26	   0.00	--------	-1	0.00	*
5:179041692	  971.6	  102.3	    9.5	    3.0	 174.37	 177.51	 999.00	  -0.30	   0.00	--------	-1	0.00	*
1:150549673	  841.0	   20.7	   40.6	    7.6	 214.18	 217.65	 999.00	  -0.29	   0.00	--------	-1	0.00	*
4:6644373	  831.0	  228.1	    3.6	    2.5	  78.25	  80.25	 999.00	  -0.15	   0.00	--------	-1	0.00	*
19:36729252	  818.3	   41.5	   19.7	   24.3	 184.25	 187.48	 999.00	  -0.25	   0.00	--------	-1	0.00	*
19:36728710	  749.7	    0.0	 9999.9	   24.3	 222.15	 225.77	 999.00	  -0.23	   0.00	--------	-1	0.00	*
1:228286067	  731.0	  352.5	    2.1	    2.1	  29.54	  30.54	 999.00	  -0.34	   0.00	--------	-1	0.00	*
3:142775577	  686.6	  195.5	    3.5	   26.4	  62.42	  64.14	 999.00	  -0.27	   0.00	--------	-1	0.00	*
22:32353034	  654.6	  269.6	    2.4	    0.9	  36.03	  37.19	 999.00	  -0.41	   0.00	--------	-1	0.00	*
9:33039079	  590.9	  283.9	    2.1	    0.4	  24.31	  25.15	 999.00	  -0.39	   0.00	--------	-1	0.00	*
1:32662447	  573.4	  266.2	    2.2	    0.8	  25.30	  26.17	 999.00	  -0.32	   0.00	--------	-1	0.00	*
1:35649419	  547.1	  124.4	    4.4	    0.8	  61.88	  63.60	 999.00	  -0.29	   0.00	--------	-1	0.00	*
2:38972249	  544.0	   82.9	    6.6	   22.3	  81.52	  83.57	 999.00	  -0.16	   0.00	--------	-1	0.00	*
12:57057594	  541.9	  377.1	    1.4	    5.2	   7.14	   7.45	 999.00	  -0.55	   0.37	--------	-1	0.00	*
19:8028305	  525.0	   20.7	   25.3	    1.1	 124.07	 126.74	 999.00	  -0.25	   0.00	--------	-1	0.00	*
1:150547292	  521.4	  124.4	    4.2	   21.0	  56.51	  58.13	 999.00	  -0.29	   0.00	--------	-1	0.00	*
17:56081842	  517.0	   41.5	   12.5	  244.9	  49.86	 104.68	  51.34	  -0.28	   0.00	--------	-1	0.00	*
1:91382048	  513.0	    0.0	 9999.9	    5.3	 151.44	 154.43	 999.00	  -0.28	   0.00	--------	-1	0.00	*
8:37556577	  497.0	   41.5	   12.0	    1.9	  97.06	  99.35	 999.00	  -0.26	   0.00	--------	-1	0.00	*
13:73333353	  495.6	   14.8	   33.5	   10.6	 122.73	 125.39	 999.00	  -0.29	   0.00	--------	-1	0.00	*
1:150549843	  488.0	    0.0	 9999.9	    7.6	 143.97	 146.90	 999.00	  -0.15	   0.00	--------	-1	0.00	*
5:179156847	  476.0	  257.9	    1.8	   10.5	  14.90	  15.45	 999.00	  -0.54	   0.25	--------	-1	0.00	*
8:117859515	  447.4	  259.9	    1.7	    0.4	  11.66	  12.11	 999.00	  -0.56	   0.16	--------	-1	0.00	*
3:113439473	  439.2	  116.2	    3.8	    4.5	  43.24	  44.58	 999.00	  -0.28	   0.00	--------	-1	0.00	*
11:9467041	  434.0	  248.8	    1.7	    0.5	  11.70	  12.15	 999.00	  -0.50	   0.00	--------	-1	0.00	*
17:56081277	  426.0	  223.4	    1.9	  259.9	  14.49	  15.02	  21.00	  -0.46	   0.00	--------	-1	0.00	*
22:38881248	  422.8	   82.9	    5.1	    1.6	  53.90	  55.47	 999.00	  -0.30	   0.00	--------	-1	0.00	*
6:38645014	  418.0	  240.1	    1.7	   26.8	  11.25	  11.68	 999.00	  -0.52	   0.00	--------	-1	0.00	*
17:56081047	  414.0	  315.8	    1.3	  271.6	   3.66	   3.85	  15.43	  -0.54	   0.00	--------	-1	0.00	*
1:156712505	  413.0	  290.3	    1.4	   16.8	   5.37	   5.62	 999.00	  -0.48	   0.28	--------	-1	0.00	*
11:34121346	  411.6	  165.9	    2.5	  129.8	  23.85	  24.69	  85.85	  -0.45	   0.27	--------	-1	0.00	*
17:20903795	  411.0	  331.8	    1.2	    1.1	   2.53	   2.68	 999.00	  -0.38	   0.00	--------	-1	0.00	*
2:242291689	  408.5	  331.4	    1.2	   86.2	   2.43	   2.58	 138.09	  -0.41	   0.63	--------	-1	0.00	*
7:155100644	  408.2	  271.4	    1.5	    0.5	   6.77	   7.07	 999.00	  -0.50	   0.27	--------	-1	0.00	*
3:23962092	  405.4	  178.8	    2.3	    0.8	  20.11	  20.84	 999.00	  -0.39	   0.00	--------	-1	0.00	*
6:31797701	  397.5	  213.4	    1.9	    0.6	  12.85	  13.34	 999.00	  -0.43	   0.00	--------	-1	0.00	*
13:73284294	  395.6	  195.5	    2.0	    0.3	  15.56	  16.13	 999.00	  -0.32	   0.00	--------	-1	0.00	*
17:39847469	  393.5	  287.2	    1.4	    5.5	   4.33	   4.55	 999.00	  -0.57	   0.30	--------	-1	0.00	*
7:75958653	  391.2	  209.8	    1.9	    0.5	  12.79	  13.28	 999.00	  -0.48	   0.37	--------	-1	0.00	*
17:76220356	  387.3	  174.9	    2.2	    9.3	  18.46	  19.12	 999.00	  -0.46	   0.00	--------	-1	0.00	*
4:103718067	  381.1	  275.2	    1.4	   28.1	   4.47	   4.69	 281.11	  -0.35	   0.00	--------	-1	0.00	*
15:52844112	  378.0	   41.5	    9.1	   26.9	  66.47	  68.27	 283.11	  -0.07	   0.00	--------	-1	0.00	*
3:48198768	  377.8	  165.9	    2.3	    9.6	  18.92	  19.61	 999.00	  -0.44	   0.48	--------	-1	0.00	*
5:180003256	  376.4	   66.6	    5.7	    4.3	  51.52	  53.04	 999.00	  -0.26	   0.00	--------	-1	0.00	*
1:32830984	  375.0	    0.0	 9999.9	    6.7	 110.40	 112.89	 999.00	  -0.27	   0.00	--------	-1	0.00	*
16:69362784	  362.0	  165.9	    2.2	    3.8	  16.74	  17.35	 999.00	  -0.39	   0.63	--------	-1	0.00	*
4:6643629	  359.2	  169.9	    2.1	    2.5	  15.70	  16.28	 999.00	  -0.40	   0.00	--------	-1	0.00	*
1:115259665	  357.1	  151.5	    2.4	    7.3	  19.08	  19.77	 999.00	  -0.36	   0.00	--------	-1	0.00	*
8:98738220	  355.4	  226.2	    1.6	   37.1	   6.99	   7.29	 212.83	  -0.35	   0.00	--------	-1	0.00	*
17:4848994	  355.0	  228.1	    1.6	    1.1	   6.69	   6.98	 999.00	  -0.59	   0.00	--------	-1	0.00	*
22:30730269	  350.0	  186.6	    1.9	    2.0	  11.59	  12.03	 999.00	  -0.38	   0.00	--------	-1	0.00	*
6:21598180	  348.0	  124.4	    2.8	    4.0	  24.11	  24.95	 999.00	  -0.19	   0.00	--------	-1	0.00	*
1:62916845	  347.2	  145.2	    2.4	    6.3	  18.96	  19.65	 999.00	  -0.45	   0.00	--------	-1	0.00	*
2:96851999	  343.2	  158.1	    2.2	    0.4	  15.70	  16.28	 999.00	  -0.32	   0.00	--------	-1	0.00	*
10:102123247	  342.5	  270.8	    1.3	   35.9	   2.53	   2.69	 204.56	  -0.50	   0.37	--------	-1	0.00	*
18:32917101	  341.0	   82.9	    4.1	   18.9	  36.60	  37.78	 290.30	  -0.29	   0.00	--------	-1	0.00	*
1:225977732	  338.0	  186.6	    1.8	    4.2	  10.26	  10.66	 999.00	  -0.55	   0.00	--------	-1	0.00	*
18:33290000	  336.6	  155.9	    2.2	   33.0	  15.36	  15.92	 209.83	  -0.42	   0.00	--------	-1	0.00	*
17:76219953	  335.0	  145.2	    2.3	    9.3	  17.10	  17.73	 999.00	  -0.41	   0.00	--------	-1	0.00	*
3:73117423	  331.1	    0.0	 9999.9	   90.1	  82.61	  99.94	  84.68	  -0.27	   0.00	--------	-1	0.00	*
5:175936527	  329.4	  140.3	    2.3	    0.5	  17.46	  18.10	 999.00	  -0.43	   0.00	--------	-1	0.00	*
3:128888266	  327.0	    0.0	 9999.9	    0.6	  96.17	  98.44	 999.00	  -0.10	   0.00	--------	-1	0.00	*
12:121202474	  319.0	   82.9	    3.8	    9.0	  32.23	  33.29	 999.00	  -0.28	   0.00	--------	-1	0.00	*
5:148733882	  315.5	  207.4	    1.5	    1.2	   5.61	   5.86	 999.00	  -0.42	   0.00	--------	-1	0.00	*
X:106893555	  309.0	  228.1	    1.4	    0.4	   3.31	   3.49	 999.00	  -0.46	   0.00	--------	-1	0.00	*
3:113440572	  308.0	   20.7	   14.9	    2.6	  64.37	  66.14	 999.00	  -0.02	   0.00	--------	-1	0.00	*
10:102121450	  305.9	  158.7	    1.9	   12.1	  10.94	  11.36	 302.79	  -0.51	   0.00	--------	-1	0.00	*
1:226334072	  305.8	   82.1	    3.7	    0.8	  29.70	  30.70	 999.00	  -0.26	   0.00	--------	-1	0.00	*
12:106632513	  305.0	  145.2	    2.1	    0.7	  13.06	  13.56	 999.00	  -0.37	   0.00	--------	-1	0.00	*
16:85711384	  303.2	  197.6	    1.5	    1.6	   5.63	   5.89	 999.00	  -0.53	   0.00	--------	-1	0.00	*
15:49171113	  297.0	  228.1	    1.3	    0.5	   2.60	   2.76	 999.00	  -0.50	   0.00	--------	-1	0.00	*
1:91382307	  295.0	    0.0	 9999.9	    5.3	  86.65	  88.80	 999.00	  -0.18	   0.00	--------	-1	0.00	*
16:87864237	  293.6	  189.6	    1.5	   32.4	   5.63	   5.88	 169.71	  -0.34	   0.00	--------	-1	0.00	*
1:154556757	  290.5	  186.6	    1.6	    4.2	   5.69	   5.95	 999.00	  -0.42	   0.00	--------	-1	0.00	*
4:141303053	  288.0	  124.4	    2.3	   22.8	  14.93	  15.48	 203.42	  -0.29	   0.00	--------	-1	0.00	*
21:46225953	  288.0	  119.1	    2.4	    0.4	  16.02	  16.61	 999.00	  -0.43	   0.00	--------	-1	0.00	*
3:133538902	  287.0	   82.9	    3.5	    6.1	  26.10	  27.00	 999.00	  -0.24	   0.00	--------	-1	0.00	*
9:77562908	  286.0	    0.0	 9999.9	    0.4	  84.00	  86.09	 999.00	  -0.25	   0.00	--------	-1	0.00	*
1:151024895	  285.0	  165.9	    1.7	   46.8	   7.62	   7.94	 121.78	  -0.42	   0.00	--------	-1	0.00	*
11:105967874	  285.0	  145.2	    2.0	    0.5	  10.58	  11.00	 999.00	  -0.54	   0.00	--------	-1	0.00	*
12:124082587	  285.0	    0.0	 9999.9	    0.7	  83.71	  85.79	 999.00	  -0.26	   0.00	--------	-1	0.00	*
22:39079897	  284.4	  201.0	    1.4	    0.9	   3.81	   4.01	 999.00	  -0.53	   0.00	--------	-1	0.00	*
19:811568	  280.5	  170.2	    1.6	   44.6	   6.60	   6.89	 123.52	  -0.41	   0.00	--------	-1	0.00	*
X:53406357	  276.2	  196.4	    1.4	    5.1	   3.67	   3.86	 999.00	  -0.42	   0.00	--------	-1	0.00	*
X:112020797	  275.5	  202.0	    1.4	  210.3	   3.13	   3.31	   5.07	  -0.47	   0.00	--------	-1	0.00	*
8:127565107	  275.0	   41.5	    6.6	   52.5	  41.40	  42.69	 102.83	  -0.29	   0.77	--------	-1	0.00	*
13:53049900	  270.0	   41.5	    6.5	   23.7	  40.23	  41.50	 179.89	  -0.28	   0.00	--------	-1	0.00	*
