Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
14:95553856:-	   67.1	    0.0	 9999.9	   10.5	  19.55	  20.47	  31.46	   0.32	   0.00	--------	-1	0.00	*
3:71804776:+	   67.1	    0.0	 9999.9	    0.5	  19.55	  20.47	 115.02	   0.22	   0.00	--------	-1	0.00	*
9:140730129:-	   67.0	    0.0	 9999.9	    0.4	  19.55	  20.47	 121.07	   0.14	   0.00	--------	-1	0.00	*
1:25687736:-	   67.0	    0.0	 9999.9	    7.2	  19.26	  20.17	  40.15	   0.09	   0.62	--------	-1	0.00	*
1:46084077:+	   67.0	    0.0	 9999.9	    1.9	  19.26	  20.17	  76.45	   0.19	   0.62	--------	-1	0.00	*
1:46744028:-	   67.0	    0.0	 9999.9	    1.9	  19.26	  20.17	  76.25	   0.27	   0.42	--------	-1	0.00	*
1:149915514:-	   67.0	    0.0	 9999.9	    2.9	  19.26	  20.17	  64.38	   0.22	   0.73	--------	-1	0.00	*
1:151555779:+	   67.0	    0.0	 9999.9	    0.8	  19.26	  20.17	 102.55	   0.21	   0.00	--------	-1	0.00	*
1:161009191:+	   67.0	    0.0	 9999.9	    2.7	  19.26	  20.17	  66.56	   0.38	   0.45	--------	-1	0.00	*
1:166826481:-	   67.0	    0.0	 9999.9	    1.0	  19.26	  20.17	  95.07	   0.20	   0.00	--------	-1	0.00	*
1:198290989:-	   67.0	    0.0	 9999.9	    7.6	  19.26	  20.17	  38.97	   0.27	   0.63	--------	-1	0.00	*
1:236140411:-	   67.0	    0.0	 9999.9	    6.0	  19.26	  20.17	  44.94	   0.20	   0.50	--------	-1	0.00	*
10:93042585:-	   67.0	    0.0	 9999.9	    3.3	  19.26	  20.17	  61.66	   0.19	   0.28	--------	-1	0.00	*
10:94414880:+	   67.0	    0.0	 9999.9	    0.5	  19.26	  20.17	 113.70	   0.12	   0.00	--------	-1	0.00	*
10:97819026:+	   67.0	    0.0	 9999.9	    1.2	  19.26	  20.17	  88.96	   0.28	   0.00	--------	-1	0.00	*
10:126309945:-	   67.0	    0.0	 9999.9	   12.1	  19.26	  20.17	  27.29	   0.21	   0.00	--------	-1	0.00	*
10:127477273:-	   67.0	    0.0	 9999.9	    0.5	  19.26	  20.17	 113.70	   0.31	   0.00	--------	-1	0.00	*
11:27389152:+	   67.0	    0.0	 9999.9	    8.5	  19.26	  20.17	  35.99	   0.35	   0.00	--------	-1	0.00	*
11:77377796:-	   67.0	    0.0	 9999.9	    0.5	  19.26	  20.17	 112.60	   0.29	   0.65	--------	-1	0.00	*
12:42478158:+	   67.0	    0.0	 9999.9	    8.0	  19.26	  20.17	  37.57	   0.21	   0.00	--------	-1	0.00	*
13:46530800:-	   67.0	    0.0	 9999.9	   12.5	  19.26	  20.17	  26.49	   0.18	   0.00	--------	-1	0.00	*
13:72014329:-	   67.0	    0.0	 9999.9	    0.4	  19.26	  20.17	 125.12	   0.38	   0.00	--------	-1	0.00	*
15:101716074:+	   67.0	    0.0	 9999.9	    1.1	  19.26	  20.17	  91.18	   0.33	   0.70	--------	-1	0.00	*
16:9210993:+	   67.0	    0.0	 9999.9	    0.7	  19.26	  20.17	 105.99	   0.28	   0.00	--------	-1	0.00	*
16:11773010:+	   67.0	    0.0	 9999.9	    0.9	  19.26	  20.17	  98.58	   0.39	   0.30	--------	-1	0.00	*
16:67133558:-	   67.0	    0.0	 9999.9	    7.7	  19.26	  20.17	  38.40	   0.15	   0.00	--------	-1	0.00	*
18:56825964:-	   67.0	    0.0	 9999.9	    0.3	  19.26	  20.17	 126.40	   0.39	   0.00	--------	-1	0.00	*
2:62451814:+	   67.0	    0.0	 9999.9	    2.1	  19.26	  20.17	  74.31	   0.29	   0.80	--------	-1	0.00	*
20:48570233:+	   67.0	    0.0	 9999.9	   12.4	  19.26	  20.17	  26.77	   0.24	   0.00	--------	-1	0.00	*
3:5025488:-	   67.0	    0.0	 9999.9	    0.5	  19.26	  20.17	 112.91	   0.31	   0.83	--------	-1	0.00	*
5:60840997:+	   67.0	    0.0	 9999.9	    0.5	  19.26	  20.17	 116.59	   0.18	   0.00	--------	-1	0.00	*
6:31827109:-	   67.0	    0.0	 9999.9	    0.6	  19.26	  20.17	 110.41	   0.12	   0.00	--------	-1	0.00	*
6:107114182:-	   67.0	    0.0	 9999.9	    4.3	  19.26	  20.17	  54.13	   0.37	   0.00	--------	-1	0.00	*
7:64865832:-	   67.0	    0.0	 9999.9	    0.5	  19.26	  20.17	 114.76	   0.35	   0.71	--------	-1	0.00	*
9:91974047:+	   67.0	    0.0	 9999.9	    7.8	  19.26	  20.17	  38.05	   0.10	   0.74	--------	-1	0.00	*
9:114432468:-	   67.0	    0.0	 9999.9	    0.4	  19.26	  20.17	 118.87	   0.54	   0.00	--------	-1	0.00	*
6:157530121:-	   67.0	    0.0	 9999.9	    6.6	  19.26	  20.17	  42.50	   0.31	   0.00	--------	-1	0.00	*
1:231489912:+	   67.0	    0.0	 9999.9	   14.0	  19.26	  20.17	  23.82	   0.41	   0.00	--------	-1	0.00	*
6:118782493:+	   66.9	    0.0	 9999.9	    9.0	  19.26	  20.17	  34.52	   0.24	   0.00	--------	-1	0.00	*
4:144142368:-	   66.9	    0.0	 9999.9	   10.7	  19.26	  20.17	  30.18	   0.15	   0.00	--------	-1	0.00	*
1:156006116:+	   66.9	    0.0	 9999.9	    2.0	  19.26	  20.17	  75.87	   0.25	   0.25	--------	-1	0.00	*
3:53902583:-	   66.9	    0.0	 9999.9	    8.0	  19.26	  20.17	  37.67	   0.32	   0.00	--------	-1	0.00	*
9:77562332:-	   66.8	    0.0	 9999.9	    0.4	  19.26	  20.17	 118.87	   0.34	   0.00	--------	-1	0.00	*
17:27956076:-	   66.8	    0.0	 9999.9	    8.7	  19.26	  20.17	  35.41	   0.24	   0.00	--------	-1	0.00	*
6:43753246:+	   66.8	    0.0	 9999.9	   11.6	  19.26	  20.17	  28.38	   0.44	   0.00	--------	-1	0.00	*
17:47905835:+	   66.7	    0.0	 9999.9	    1.1	  19.26	  20.17	  91.00	   0.37	   0.00	--------	-1	0.00	*
2:220048173:-	   66.7	    0.0	 9999.9	    5.2	  19.26	  20.17	  48.75	   0.28	   0.00	--------	-1	0.00	*
17:60020064:-	   66.7	    0.0	 9999.9	    1.1	  19.26	  20.17	  91.00	   0.40	   0.00	--------	-1	0.00	*
3:38296539:+	   66.7	    0.0	 9999.9	   12.3	  19.26	  20.17	  26.97	   0.37	   0.00	--------	-1	0.00	*
1:155305795:+	   66.7	    0.0	 9999.9	    0.8	  19.26	  20.17	 102.55	   0.13	   0.43	--------	-1	0.00	*
1:10480108:-	   66.7	    0.0	 9999.9	    1.2	  19.26	  20.17	  90.60	   0.25	   0.06	--------	-1	0.00	*
13:41132948:+	   66.7	    0.0	 9999.9	    3.2	  19.26	  20.17	  62.04	   0.14	   0.00	--------	-1	0.00	*
11:62361242:-	   66.6	    0.0	 9999.9	    7.7	  19.27	  20.17	  38.35	   0.53	   0.51	--------	-1	0.00	*
14:61179762:+	   66.6	    0.0	 9999.9	    0.5	  19.27	  20.17	 115.46	   0.10	   0.00	--------	-1	0.00	*
